,ID,Date,TEMP,pH,TURB,FECALCOLI,NO3N,TP,Label,WQI
149,1980-01-01IND00002,1980-01-01,18.0,67.0,76.0,2.0,97.0,98.0,2,51.82258064516129
150,1980-01-01IND00004,1980-01-01,12.0,67.0,62.0,45.0,97.0,98.0,2,60.14516129032257
151,1980-01-01IND00005,1980-01-01,12.0,47.0,57.0,8.0,97.0,98.0,1,46.4032258064516
152,1980-01-01IND00007,1980-01-01,12.0,67.0,62.0,53.0,97.0,98.0,2,62.209677419354826
153,1980-01-01IND00009,1980-01-01,18.0,47.0,45.0,98.0,97.0,98.0,2,69.04838709677419
154,1980-01-01IND00010,1980-01-01,10.0,0.0,84.0,98.0,97.0,98.0,2,64.4516129032258
155,1980-01-01IND00011,1980-01-01,12.0,47.0,84.0,98.0,97.0,98.0,3,73.11290322580643
156,1980-01-01IND00012,1980-01-01,18.0,67.0,76.0,98.0,97.0,98.0,3,76.59677419354837
157,1980-01-01IND00013,1980-01-01,10.0,47.0,84.0,98.0,97.0,98.0,3,72.79032258064515
158,1980-01-01IND00023,1980-01-01,18.0,67.0,28.0,27.0,97.0,98.0,2,52.08064516129031
159,1980-01-01IND00024,1980-01-01,18.0,67.0,48.0,63.0,97.0,98.0,2,63.951612903225794
160,1980-01-01IND00025,1980-01-01,10.0,67.0,68.0,98.0,97.0,98.0,3,74.27419354838709
161,1980-01-01IND00028,1980-01-01,12.0,67.0,76.0,98.0,97.0,98.0,3,75.6290322580645
162,1980-01-01IND00029,1980-01-01,12.0,67.0,57.0,98.0,97.0,98.0,3,73.1774193548387
163,1980-01-01IND00030,1980-01-01,0.0,67.0,84.0,98.0,97.0,98.0,3,74.72580645161288
164,1980-01-16IND00034,1980-01-16,15.0,67.0,84.0,80.0,97.0,98.0,3,72.49999999999999
165,1980-01-18IND00033,1980-01-18,15.0,67.0,84.0,89.0,97.0,98.0,3,74.82258064516128
166,1980-02-01IND00004,1980-02-01,15.0,67.0,57.0,13.0,97.0,98.0,2,51.7258064516129
167,1980-02-01IND00005,1980-02-01,10.0,47.0,68.0,18.0,97.0,98.0,2,50.080645161290306
168,1980-02-01IND00009,1980-02-01,12.0,47.0,53.0,98.0,97.0,98.0,2,69.11290322580645
169,1980-02-01IND00010,1980-02-01,10.0,67.0,39.0,98.0,97.0,98.0,3,70.53225806451613
170,1980-02-01IND00011,1980-02-01,15.0,82.0,62.0,98.0,97.0,98.0,3,76.96774193548386
171,1980-02-01IND00012,1980-02-01,18.0,47.0,17.0,98.0,97.0,98.0,2,65.43548387096773
172,1980-02-01IND00013,1980-02-01,10.0,67.0,84.0,98.0,97.0,98.0,3,76.33870967741935
173,1980-02-01IND00023,1980-02-01,18.0,93.0,22.0,27.0,97.0,98.0,2,55.91935483870967
174,1980-02-01IND00024,1980-02-01,15.0,67.0,22.0,27.0,97.0,98.0,2,50.82258064516128
175,1980-02-01IND00025,1980-02-01,0.0,67.0,68.0,98.0,97.0,98.0,3,72.66129032258064
176,1980-02-01IND00028,1980-02-01,10.0,67.0,76.0,98.0,97.0,98.0,3,75.30645161290322
177,1980-02-01IND00029,1980-02-01,10.0,67.0,57.0,45.0,97.0,98.0,2,59.177419354838705
178,1980-02-01IND00030,1980-02-01,0.0,67.0,48.0,98.0,97.0,98.0,3,70.08064516129032
179,1980-02-18IND00034,1980-02-18,12.0,47.0,84.0,98.0,97.0,98.0,3,73.11290322580643
180,1980-02-20IND00033,1980-02-20,12.0,67.0,84.0,98.0,97.0,98.0,3,76.66129032258064
181,1980-03-01IND00004,1980-03-01,0.0,47.0,57.0,13.0,97.0,98.0,1,45.758064516129025
182,1980-03-01IND00005,1980-03-01,0.0,47.0,57.0,18.0,97.0,98.0,1,47.048387096774185
183,1980-03-01IND00007,1980-03-01,0.0,47.0,57.0,18.0,97.0,98.0,1,47.048387096774185
184,1980-03-01IND00009,1980-03-01,15.0,67.0,39.0,98.0,97.0,98.0,3,71.33870967741935
185,1980-03-01IND00010,1980-03-01,10.0,67.0,62.0,98.0,97.0,98.0,3,73.49999999999999
186,1980-03-01IND00011,1980-03-01,12.0,47.0,84.0,98.0,97.0,98.0,3,73.11290322580643
187,1980-03-01IND00012,1980-03-01,15.0,67.0,84.0,98.0,97.0,98.0,3,77.14516129032256
188,1980-03-01IND00013,1980-03-01,12.0,67.0,76.0,98.0,97.0,98.0,3,75.6290322580645
189,1980-03-01IND00025,1980-03-01,10.0,47.0,62.0,98.0,97.0,98.0,2,69.9516129032258
190,1980-03-01IND00028,1980-03-01,12.0,67.0,84.0,98.0,97.0,98.0,3,76.66129032258064
191,1980-03-01IND00029,1980-03-01,0.0,82.0,57.0,98.0,97.0,98.0,3,73.9032258064516
192,1980-03-08IND00034,1980-03-08,10.0,67.0,84.0,98.0,97.0,98.0,3,76.33870967741935
193,1980-03-23IND00033,1980-03-23,0.0,67.0,84.0,98.0,97.0,98.0,3,74.72580645161288
194,1980-04-01IND00007,1980-04-01,0.0,47.0,62.0,5.0,97.0,98.0,1,44.33870967741935
195,1980-04-01IND00009,1980-04-01,10.0,90.0,28.0,98.0,97.0,98.0,3,73.19354838709677
196,1980-04-01IND00010,1980-04-01,0.0,67.0,34.0,98.0,97.0,98.0,2,68.27419354838709
197,1980-04-01IND00011,1980-04-01,10.0,90.0,84.0,98.0,97.0,98.0,3,80.41935483870967
198,1980-04-01IND00012,1980-04-01,10.0,67.0,76.0,98.0,97.0,98.0,3,75.30645161290322
199,1980-04-01IND00023,1980-04-01,12.0,67.0,28.0,63.0,97.0,98.0,2,60.40322580645161
200,1980-04-01IND00024,1980-04-01,0.0,67.0,5.0,53.0,97.0,98.0,2,52.91935483870967
201,1980-04-01IND00028,1980-04-01,10.0,47.0,84.0,98.0,97.0,98.0,3,72.79032258064515
202,1980-04-01IND00029,1980-04-01,12.0,90.0,57.0,89.0,97.0,98.0,3,74.93548387096773
203,1980-04-16IND00034,1980-04-16,0.0,67.0,84.0,71.0,97.0,98.0,2,67.75806451612901
204,1980-04-23IND00033,1980-04-23,12.0,67.0,84.0,53.0,97.0,98.0,2,65.04838709677418
205,1980-05-01IND00009,1980-05-01,10.0,90.0,5.0,98.0,97.0,98.0,3,70.2258064516129
206,1980-05-01IND00010,1980-05-01,0.0,67.0,45.0,98.0,97.0,98.0,2,69.69354838709677
207,1980-05-01IND00011,1980-05-01,0.0,67.0,76.0,98.0,97.0,98.0,3,73.69354838709675
208,1980-05-01IND00012,1980-05-01,15.0,47.0,62.0,98.0,97.0,98.0,3,70.75806451612901
209,1980-05-01IND00023,1980-05-01,10.0,67.0,53.0,98.0,97.0,98.0,3,72.33870967741935
210,1980-05-01IND00028,1980-05-01,18.0,67.0,68.0,98.0,97.0,98.0,3,75.56451612903224
211,1980-05-01IND00029,1980-05-01,12.0,82.0,57.0,98.0,97.0,98.0,3,75.83870967741935
212,1980-05-19IND00033,1980-05-19,12.0,47.0,84.0,53.0,97.0,98.0,2,61.49999999999999
213,1980-05-19IND00034,1980-05-19,10.0,47.0,84.0,53.0,97.0,98.0,2,61.1774193548387
214,1980-06-01IND00009,1980-06-01,10.0,90.0,39.0,98.0,97.0,98.0,3,74.61290322580643
215,1980-06-01IND00010,1980-06-01,0.0,67.0,5.0,98.0,97.0,98.0,2,64.53225806451611
216,1980-06-01IND00011,1980-06-01,15.0,67.0,68.0,98.0,97.0,98.0,3,75.08064516129032
217,1980-06-01IND00012,1980-06-01,10.0,47.0,84.0,98.0,97.0,98.0,3,72.79032258064515
218,1980-06-01IND00023,1980-06-01,0.0,90.0,5.0,98.0,97.0,98.0,2,68.61290322580643
219,1980-06-01IND00024,1980-06-01,0.0,67.0,5.0,27.0,97.0,98.0,1,46.209677419354826
220,1980-06-01IND00028,1980-06-01,10.0,47.0,76.0,98.0,97.0,98.0,3,71.75806451612902
221,1980-06-01IND00029,1980-06-01,12.0,82.0,48.0,71.0,97.0,98.0,2,67.70967741935482
222,1980-06-20IND00033,1980-06-20,12.0,90.0,84.0,71.0,97.0,98.0,3,73.77419354838709
223,1980-06-21IND00034,1980-06-21,12.0,90.0,84.0,45.0,97.0,98.0,2,67.06451612903224
224,1980-07-01IND00001,1980-07-01,12.0,47.0,57.0,22.0,97.0,98.0,2,50.01612903225805
225,1980-07-01IND00002,1980-07-01,10.0,67.0,28.0,2.0,97.0,98.0,1,44.33870967741935
226,1980-07-01IND00004,1980-07-01,12.0,67.0,62.0,2.0,97.0,98.0,1,49.04838709677419
227,1980-07-01IND00005,1980-07-01,0.0,47.0,62.0,2.0,97.0,98.0,1,43.56451612903225
228,1980-07-01IND00007,1980-07-01,10.0,82.0,5.0,2.0,97.0,98.0,1,44.03225806451612
229,1980-07-01IND00009,1980-07-01,10.0,67.0,5.0,98.0,97.0,98.0,2,66.14516129032258
230,1980-07-01IND00010,1980-07-01,10.0,67.0,5.0,98.0,97.0,98.0,2,66.14516129032258
231,1980-07-01IND00011,1980-07-01,15.0,47.0,68.0,98.0,97.0,98.0,3,71.53225806451611
232,1980-07-01IND00012,1980-07-01,18.0,67.0,5.0,98.0,97.0,98.0,2,67.43548387096773
233,1980-07-01IND00023,1980-07-01,10.0,93.0,5.0,13.0,97.0,98.0,1,48.82258064516129
234,1980-07-01IND00024,1980-07-01,0.0,67.0,5.0,18.0,97.0,98.0,1,43.887096774193544
235,1980-07-01IND00028,1980-07-01,0.0,47.0,5.0,98.0,97.0,98.0,2,60.98387096774193
236,1980-07-01IND00029,1980-07-01,12.0,82.0,57.0,37.0,97.0,98.0,2,60.09677419354837
237,1980-07-23IND00034,1980-07-23,12.0,67.0,84.0,53.0,97.0,98.0,2,65.04838709677418
238,1980-07-25IND00033,1980-07-25,10.0,82.0,84.0,63.0,97.0,98.0,2,69.96774193548386
239,1980-08-01IND00001,1980-08-01,0.0,47.0,45.0,13.0,97.0,98.0,1,44.20967741935483
240,1980-08-01IND00002,1980-08-01,0.0,67.0,57.0,2.0,97.0,98.0,1,46.467741935483865
241,1980-08-01IND00004,1980-08-01,10.0,67.0,5.0,98.0,97.0,98.0,2,66.14516129032258
242,1980-08-01IND00005,1980-08-01,10.0,67.0,48.0,53.0,97.0,98.0,2,60.08064516129031
243,1980-08-01IND00007,1980-08-01,0.0,0.0,5.0,98.0,97.0,98.0,2,52.64516129032257
244,1980-08-01IND00009,1980-08-01,10.0,67.0,5.0,98.0,97.0,98.0,2,66.14516129032258
245,1980-08-01IND00010,1980-08-01,10.0,67.0,5.0,98.0,97.0,98.0,2,66.14516129032258
246,1980-08-01IND00011,1980-08-01,18.0,90.0,5.0,98.0,97.0,98.0,3,71.51612903225806
247,1980-08-01IND00012,1980-08-01,12.0,90.0,68.0,98.0,97.0,98.0,3,78.6774193548387
248,1980-08-01IND00019,1980-08-01,12.0,92.0,84.0,98.0,97.0,98.0,3,81.09677419354837
249,1980-08-01IND00023,1980-08-01,0.0,93.0,5.0,37.0,97.0,98.0,2,53.4032258064516
250,1980-08-01IND00024,1980-08-01,10.0,67.0,5.0,98.0,97.0,98.0,2,66.14516129032258
251,1980-08-01IND00028,1980-08-01,10.0,90.0,34.0,98.0,97.0,98.0,3,73.96774193548386
252,1980-08-01IND00029,1980-08-01,12.0,82.0,53.0,98.0,97.0,98.0,3,75.32258064516128
253,1980-08-05IND00017,1980-08-05,10.0,92.0,84.0,98.0,97.0,98.0,3,80.77419354838707
254,1980-08-07IND00018,1980-08-07,12.0,90.0,84.0,98.0,97.0,98.0,3,80.74193548387096
255,1980-08-20IND00034,1980-08-20,12.0,47.0,84.0,80.0,97.0,98.0,2,68.46774193548386
